"site","unit","plot","treatment","timestep","l_tph","l_ba","l_qmd","d_tph","d_ba","p_ba","p_seed","np_seed","p_sap","np_sap","midstory_shrubs","graminoids","forb","shrub","tree","vine","non_native","richness","diversity","evenness","ground","fine","cwd","ptorch","pmort"
"California","40","0040-00002","Control","pre",320.99,48.66,43.93,24.69,2.39,0,2223.95,13590.8,0,518.52,NA,0,0,0,0,NA,NA,0,0,0,67.9,5.51,11.29,0,100
"California","40","0040-00002","Control","post",320.99,55.47,46.91,74.07,9.42,0,988.42,2718.16,24.69,839.51,NA,0,0,0,5,NA,NA,1,0,0,140.47,25.46,18.65,100,98
"California","40","0040-00003","Control","pre",370.37,56.38,44.02,0,0,42.88,1482.63,247.11,0,1975.31,NA,0,5,0,0,NA,NA,1,0,0,40.31,1.95,13.8,99,12
"California","40","0040-00003","Control","post",320.99,67.51,51.75,0,0,50.47,494.21,0,24.69,1012.35,NA,0,0,0,0,NA,NA,0,0,0,82.39,6.07,0,9,8
"California","40","0040-00005","Control","pre",567.9,64.93,38.15,24.69,4.56,18.54,247.11,2223.95,0,246.91,NA,0,0,0,5,NA,NA,1,0,0,158.26,5.31,14.79,0,13
"California","40","0040-00005","Control","post",419.75,75.67,47.91,74.07,5.28,20.03,0,0,0,320.99,NA,0,0,0,45,NA,NA,1,0,0,125.69,5.31,5.96,93,97
"California","40","0040-00007","Control","pre",641.98,42.2,28.93,0,0,9.05,15320.54,2718.16,2716.05,493.83,NA,0,0,0,5,NA,NA,1,0,0,95.81,5.05,8.45,88,100
"California","40","0040-00007","Control","post",518.52,46.93,33.95,49.38,3.48,14.21,4942.11,2471.05,74.07,1012.35,NA,0,0,0,0,NA,NA,0,0,0,141.52,9.18,9.37,100,98
"California","40","0040-00012","Control","pre",716.05,53.67,30.89,0,0,46.4,4447.9,247.11,0,1234.57,NA,0,0,0,5,NA,NA,1,0,0,20.41,8.75,6.09,86,30
"California","40","0040-00012","Control","post",617.28,57.6,34.47,49.38,8.13,40.97,17791.59,247.11,0,469.14,NA,0,0,0,40,NA,NA,1,0,0,94.34,7.64,6.97,71,98
"California","40","0040-00101","Control","pre",592.59,54.1,34.09,0,0,76.02,988.42,0,0,987.65,NA,0,0,0,4,NA,NA,1,0,0,89.72,3.19,19.2,97,26
"California","40","0040-00101","Control","post",395.06,59.2,43.68,49.38,3.13,75.91,10872.64,0,0,148.15,NA,0,0,0,5,NA,NA,1,0,0,59.13,11.82,18.28,0,22
"California","40","0040-00103","Control","pre",543.21,75.92,42.19,49.38,7.06,16.53,0,741.32,0,0,NA,0,8,0,26,NA,NA,3,0.71,0.2,277.86,11.43,77.2,90,14
"California","40","0040-00103","Control","post",493.83,94.45,49.35,24.69,4.66,17.38,0,247.11,0,98.77,NA,0,0,0,20,NA,NA,1,0,0,83.08,1.74,21.27,28,9
"California","40","0040-00104","Control","pre",444.44,67.44,43.95,74.07,6.23,41.4,0,741.32,0,24.69,NA,0,8,4,6,NA,NA,4,1.37,0.47,81.35,12.36,24.29,13,14
"California","40","0040-00104","Control","post",469.14,87.13,48.63,98.77,7.37,40.42,247.11,0,0,49.38,NA,0,0,0,35,NA,NA,1,0,0,91.61,17.15,36.27,13,8
"California","40","0040-00105","Control","pre",543.21,101.43,48.76,98.77,7.3,14.83,247.11,8895.79,0,246.91,NA,4,20,18,4,NA,NA,11,2.39,0.62,7.04,5.97,0,0,100
"California","40","0040-00105","Control","post",395.06,101.65,57.24,222.22,56.57,16.59,0,1976.84,24.69,1012.35,NA,0,0,5,20,NA,NA,2,0.5,0.16,139.65,12.38,7.28,100,98
"California","40","0040-00106","Control","pre",518.52,53.12,36.12,0,0,25.03,5436.32,247.11,0,1234.57,NA,0,12,8,26,NA,NA,6,1.38,0.36,36.83,4.02,0,100,100
"California","40","0040-00106","Control","post",419.75,63.76,43.98,49.38,6.2,24.35,15320.54,741.32,1111.11,1160.49,NA,0,0,0,30,NA,NA,1,0,0,70.77,23.48,25.53,100,14
"California","40","0040-00107","Control","pre",666.67,47.45,30.1,0,0,6.29,3212.37,741.32,49.38,493.83,NA,0,16,12,6,NA,NA,8,2.07,0.59,55.05,14.51,14.66,96,100
"California","40","0040-00107","Control","post",271.6,45.34,46.1,148.15,17.2,0,988.42,247.11,24.69,469.14,NA,0,0,0,10,NA,NA,1,0,0,99.42,18.81,3.88,94,100
"California","40","0040-00108","Control","pre",320.99,19.61,27.89,24.69,29.82,5.96,5189.21,23227.91,246.91,493.83,NA,0,16,12,8,NA,NA,9,2.2,0.61,51.04,10.05,35.46,100,94
"California","40","0040-00108","Control","post",543.21,30.87,26.9,24.69,26.94,55.47,5930.53,15567.64,641.98,2074.07,NA,0,0,0,0,NA,NA,0,0,0,58.23,12.74,13.6,100,98
"California","40","0040-00109","Control","pre",444.44,80.61,48.05,0,0,26.14,0,1482.63,0,246.91,NA,0,0,0,15,NA,NA,1,0,0,81.33,28.53,40.53,18,9
"California","40","0040-00109","Control","post",370.37,101.1,58.95,24.69,1.35,23.43,988.42,0,0,49.38,NA,0,0,0,0,NA,NA,0,0,0,178.59,25.17,30.09,19,6
"California","40","0040-00110","Control","pre",888.89,114.25,40.45,123.46,10.43,1.31,0,10625.53,0,0,NA,0,12,0,4,NA,NA,4,1.39,0.5,127.2,18.12,7.4,12,10
"California","40","0040-00110","Control","post",592.59,130.72,53,98.77,5.43,0,0,0,0,123.46,NA,0,0,0,0,NA,NA,0,0,0,84.36,28.81,33.31,8,6
"California","40","0040-00111","Control","pre",469.14,60.03,40.36,49.38,5.39,9.6,494.21,494.21,0,271.6,NA,0,16,4,26,NA,NA,6,1.38,0.36,93.18,6.33,0,100,95
"California","40","0040-00111","Control","post",444.44,71.91,45.39,49.38,4.76,10.12,0,247.11,0,1209.88,NA,0,0,0,8,NA,NA,1,0,0,128.73,2.93,3.38,100,10
"California","40","0040-00112","Control","pre",222.22,44.56,50.53,49.38,3.72,3.79,1976.84,5189.21,1234.57,3950.62,NA,0,8,8,10,NA,NA,6,1.78,0.55,54.16,11.45,0,100,75
"California","40","0040-00112","Control","post",246.91,50.12,50.84,24.69,6,0.88,4447.9,741.32,592.59,2419.75,NA,0,2,0,2,NA,NA,2,0.69,0.5,156.19,42.58,19.87,100,96
"California","40","0040-00113","Control","pre",469.14,83.82,47.7,24.69,2.63,27.2,4200.79,4942.11,0,0,NA,0,4,4,4,NA,NA,3,1.1,0.44,2.05,2.64,8.68,0,12
"California","40","0040-00113","Control","post",320.99,95.26,61.47,74.07,8.49,20.96,4942.11,247.11,0,320.99,NA,0,0,0,25,NA,NA,1,0,0,40.76,17.9,14.31,90,100
