PLOTID;QuadrantID;Landscape_type;Landscape_type_2;Plot_type;Plot_type_2;Landscape_Plot;BIN_Richness;RL_Richness;BIN_Coleoptera;BIN_Diptera;BIN_Hemiptera;BIN_Hymenoptera;BIN_Lepidoptera;BIN_Orthoptera;BIN_Rest;Visit;Date start;Date end;Day start;Day end;Day mean;Duration;Biomass;Biomass_per_day;Excluded;Average_temperature;Average_humidity;Long-Term Mean Annual Precipitation;Long-Term Mean Annual Average Near Surface Temperature;point_x;point_y;Elevation
5636_4_A;5636_4;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;825,2333333;7,761111111;3696825,023;5580568,146;562
5636_4_A;5636_4;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;10.04.2019;16.05.2019;100;136;118;36;8,98;0,25;0;7,187474099;74,87391104;825,2333333;7,761111111;3696825,023;5580568,146;562
5636_4_A;5636_4;Agricultural;b;arable field;c;b_c;311;5;24;209;5;54;12;1;3;5;16.05.2019;31.05.2019;136;151;143,5;15;17,65;1,176666667;0;11,65239063;84,10139063;825,2333333;7,761111111;3696825,023;5580568,146;562
5636_4_A;5636_4;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;31.05.2019;15.06.2019;151;166;158,5;15;37,33;2,49;0;17,4561276;76,09760417;825,2333333;7,761111111;3696825,023;5580568,146;562
5636_4_A;5636_4;Agricultural;b;arable field;c;b_c;291;8;19;150;4;64;36;9;5;7;15.06.2019;06.07.2019;166;187;176,5;21;117,8;5,60952381;0;19,03589583;67,61381439;825,2333333;7,761111111;3696825,023;5580568,146;562
5636_4_A;5636_4;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;06.07.2019;20.07.2019;187;201;194;14;54,38;3,88;0;15,06929444;76,33343333;825,2333333;7,761111111;3696825,023;5580568,146;562
5636_4_A;5636_4;Agricultural;b;arable field;c;b_c;474;13;33;231;16;117;51;11;7;9;20.07.2019;04.08.2019;201;216;208,5;15;91,21;6,08;0;19,5572526;72,4330625;825,2333333;7,761111111;3696825,023;5580568,146;562
5636_4_A;5636_4;Agricultural;b;arable field;c;b_c;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;04.08.2019;19.08.2019;216;231;223,5;15;40,51;2,7;0;16,8381276;78,94554688;825,2333333;7,761111111;3696825,023;5580568,146;562
5636_4_F;5636_4;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;846,4;7,490277778;3700232,5;5578926,065;614
5636_4_F;5636_4;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;26.04.2019;16.05.2019;116;136;126;20;7,33;0,37;0;7,534605159;80,17905357;846,4;7,490277778;3700232,5;5578926,065;614
5636_4_F;5636_4;Agricultural;b;forest;a;b_a;458;5;32;290;7;90;26;3;5;5;16.05.2019;31.05.2019;136;151;143,5;15;25,92;1,728;0;12,95019271;78,92176823;846,4;7,490277778;3700232,5;5578926,065;614
5636_4_F;5636_4;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;31.05.2019;15.06.2019;151;166;158,5;15;62,82;4,19;0;19,3853724;68,29436979;846,4;7,490277778;3700232,5;5578926,065;614
5636_4_F;5636_4;Agricultural;b;forest;a;b_a;387;11;16;198;2;71;82;4;8;7;15.06.2019;06.07.2019;166;187;176,5;21;198,4;9,447619048;0;21,10126705;59,79304545;846,4;7,490277778;3700232,5;5578926,065;614
5636_4_F;5636_4;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;06.07.2019;20.07.2019;187;201;194;14;27,13;1,94;0;16,52929444;71,39455;846,4;7,490277778;3700232,5;5578926,065;614
5636_4_F;5636_4;Agricultural;b;forest;a;b_a;430;10;18;229;12;99;49;4;8;9;20.07.2019;04.08.2019;201;216;208,5;15;93,12;6,21;0;21,1029375;66,48167448;846,4;7,490277778;3700232,5;5578926,065;614
5636_4_F;5636_4;Agricultural;b;forest;a;b_a;NA;NA;NA;NA;NA;NA;NA;NA;NA;10;04.08.2019;19.08.2019;216;231;223,5;15;21,98;1,47;0;17,71772917;76,07216406;846,4;7,490277778;3700232,5;5578926,065;614
5636_4_G;5636_4;Agricultural;b;meadow;b;b_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;10.04.2019;02.05.2019;100;122;111;22;3,57;0,16;0;9,319778986;69,20669203;803,2;7,681666667;3700131,311;5580679,993;551
5636_4_G;5636_4;Agricultural;b;meadow;b;b_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;02.05.2019;16.05.2019;122;136;129;14;1,38;0,1;0;6,952555556;79,07782778;803,2;7,681666667;3700131,311;5580679,993;551
5636_4_G;5636_4;Agricultural;b;meadow;b;b_b;238;4;28;148;3;40;8;0;6;5;16.05.2019;31.05.2019;136;151;143,5;15;12,57;0,838;0;12,93307031;78,57261719;803,2;7,681666667;3700131,311;5580679,993;551
5636_4_G;5636_4;Agricultural;b;meadow;b;b_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;31.05.2019;15.06.2019;151;166;158,5;15;27,39;1,83;0;19,40338542;68,24966927;803,2;7,681666667;3700131,311;5580679,993;551
5636_4_G;5636_4;Agricultural;b;meadow;b;b_b;281;6;16;156;8;43;37;6;12;7;15.06.2019;06.07.2019;166;187;176,5;21;63,8;3,038095238;0;20,96721212;59,70224811;803,2;7,681666667;3700131,311;5580679,993;551
5636_4_G;5636_4;Agricultural;b;meadow;b;b_b;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;06.07.2019;20.07.2019;187;201;194;14;28,11;2,01;0;16,82324722;70,31095833;803,2;7,681666667;3700131,311;5580679,993;551
5636_4_G;5636_4;Agricultural;b;meadow;b;b_b;211;6;7;111;10;36;25;7;10;9;20.07.2019;04.08.2019;201;216;208,5;15;29,48;1,97;0;21,0828776;67,63895052;803,2;7,681666667;3700131,311;5580679,993;551
