PLOTID;QuadrantID;Landscape_type;Landscape_type_2;Plot_type;Plot_type_2;Landscape_Plot;BIN_Richness;Long-Term Mean Annual Precipitation;Long-Term Mean Annual Average Near Surface Temperature;point_x;point_y;Lat;Lon;Elevation;Climate_category;Excluded
5636_4_A;5636_4;Agricultural;b;arable field;c;b_c;802;825,2333333;7,761111111;3696825,023;5580568,146;50,328201;11,763294;562;1;0
5636_4_F;5636_4;Agricultural;b;forest;a;b_a;949;846,4;7,490277778;3700232,5;5578926,065;50,31231;11,81022;614;1;0
5636_4_G;5636_4;Agricultural;b;meadow;b;b_b;560;803,2;7,681666667;3700131,311;5580679,993;50,328093;11,80973;551;1;0
5637_3_A;5637_3;Urban;c;arable field;c;c_c;473;757,8333333;7,724722222;3702728,561;5582170,587;50,34059;11,84696;558;1;0
5637_3_G;5637_3;Urban;c;meadow;b;c_b;787;775,1666667;7,689166667;3703446,049;5580414,331;50,324574;11,85608;519;1;0
5637_3_U;5637_3;Urban;c;settlement;d;c_d;804;717,2333333;7,7475;3706417,544;5579381,856;50,314272;11,89719;536;1;0
5728_2_A;5728_2;Agricultural;b;arable field;c;b_c;478;597,4;8,961666667;3603896,377;5573385,043;50,287344;10,456818;292;3;0
5728_2_F;5728_2;Agricultural;b;forest;a;b_a;957;689,9666667;8,481944444;3603249,002;5570272,775;50,259487;10,446889;380;3;0
5728_2_G;5728_2;Agricultural;b;meadow;b;b_b;780;595,2666667;9,096944444;3605819,467;5573896,372;50,291598;10,483936;274;3;0
5737_3_A;5737_3;Agricultural;b;arable field;c;b_c;703;818,9;7,747777778;3703971,817;5569530,559;50,226669;11,857593;545;1;0
5737_3_F;5737_3;Agricultural;b;forest;a;b_a;746;795,6;7,755555556;3706396,058;5570088,789;50,230841;11,891826;569;1;0
5737_3_G;5737_3;Agricultural;b;meadow;b;b_b;616;781,6666667;7,832222222;3706800,497;5568226,053;50,213975;11,896473;514;1;0
5837_4_A;5837_4;Agricultural;b;arable field;c;b_c;597;811,0333333;7,49;3711584,144;5560555,71;50,14342;11,959142;626;1;0
5837_4_F;5837_4;Agricultural;b;forest;a;b_a;720;903,2;7,4125;3709964,089;5557350,679;50,115219;11,934746;680;1;0
5837_4_G;5837_4;Agricultural;b;meadow;b;b_b;719;797,7;7,7;3712800,185;5557018,502;50,111228;11,97416;543;1;0
5838_2_A;5838_2;Urban;c;arable field;c;c_c;678;762,0666667;7,268611111;3721499,912;5564717,624;50,177166;12,100076;612;1;0
5838_2_F;5838_2;Urban;c;forest;a;c_a;783;778,4666667;7,029444444;3721481,343;5565858,547;50,187415;12,10048;675;1;0
5838_2_U;5838_2;Urban;c;settlement;d;c_d;803;723;7,521388889;3724413,171;5564138,237;50,17087;12,140457;571;1;0
5923_3_F;5923_3;Semi-natural;a;forest;a;a_a;867;978,7666667;8,401111111;3540572,089;5544152,864;50,032296;9,565229;430;4;0
5923_3_G;5923_3;Semi-natural;a;meadow;b;a_b;770;774,8;10,02055556;3540043,868;5541609,401;50,009466;9,557592;168;4;0
5923_3_U;5923_3;Semi-natural;a;settlement;d;a_d;988;882,2;9,479166667;3537357,417;5544264,302;50,033508;9,520374;224;4;0
5924_3_A;5924_3;Semi-natural;a;arable field;c;a_c;538;806,1333333;9,085833333;3550053,318;5544488,674;50,034594;9,697595;348;5;0
5924_3_F;5924_3;Semi-natural;a;forest;a;a_a;961;777,0333333;9,305555556;3549321,563;5541978,372;50,012088;9,68706;296;5;0
5924_3_U;5924_3;Semi-natural;a;settlement;d;a_d;978;699,9333333;9,727777778;3552719,105;5543965,721;50,029663;9,734729;182;5;0
5928_2_A;5928_2;Agricultural;b;arable field;c;b_c;534;647,8666667;9,601944444;3606183,737;5552191,942;50,096472;10,48299;254;4;0
5928_2_F;5928_2;Agricultural;b;forest;a;b_a;924;745,1666667;9,043055556;3602968,598;5549350,625;50,071501;10,437306;370;4;0
5928_2_U;5928_2;Agricultural;b;settlement;d;b_d;790;688,6666667;9,348888889;3606115,016;5549468,074;50,072004;10,481275;286;4;0
5933_4_A;5933_4;Agricultural;b;arable field;c;b_c;691;859,1333333;8,360555556;3664440,109;5544108,089;50,010602;11,29315;466;2;0
5933_4_F;5933_4;Agricultural;b;forest;a;b_a;1039;845,3333333;8,476666667;3665095,529;5542931,223;49,999849;11,301781;483;2;0
5933_4_U;5933_4;Agricultural;b;settlement;d;b_d;910;865,1666667;8,265277778;3665735,241;5546035,651;50,027559;11,312035;481;2;0
5938_2_A;5938_2;Agricultural;b;arable field;c;b_c;812;721,1666667;7,749722222;3725665,838;5553539,841;50,075257;12,151705;517;1;0
5938_2_F;5938_2;Agricultural;b;forest;a;b_a;723;777,2666667;7,523888889;3724217,982;5551886,471;50,060962;12,130542;590;1;0
5938_2_G;5938_2;Agricultural;b;meadow;b;b_b;879;780,9666667;7,445555556;3722568,308;5551749,366;50,06035;12,107458;580;1;0
5938_3_A;5938_3;Urban;c;arable field;c;c_c;741;787,5333333;7,803055556;3717771,68;5548689,192;50,03465;12,03883;538;1;0
