;plot;forest;year;Period;from;to;from.daynr;to.daynr;biomass;potID;E;N;location.type;mean.daynr
741;ORB1;n;1989;A;01. Mai;07. Mai;121;127;42,6;741;6,506266;51,397132;2;124
742;ORB1;n;1989;A;08. Mai;13. Mai;128;133;38,6;742;6,506266;51,397132;2;130,5
743;ORB1;n;1989;A;14. Mai;20. Mai;134;140;64,3;743;6,506266;51,397132;2;137
744;ORB1;n;1989;A;21. Mai;10. Jun;141;161;NA;744;6,506266;51,397132;2;151
745;ORB1;n;1989;A;11. Jun;17. Jun;162;168;41,5;745;6,506266;51,397132;2;165
746;ORB1;n;1989;A;18. Jun;24. Jun;169;175;83,3;746;6,506266;51,397132;2;172
747;ORB1;n;1989;A;25. Jun;01. Jul;176;182;51;747;6,506266;51,397132;2;179
748;ORB1;n;1989;A;02. Jul;08. Jul;183;189;114,1;748;6,506266;51,397132;2;186
749;ORB1;n;1989;A;09. Jul;15. Jul;190;196;76,9;749;6,506266;51,397132;2;193
750;ORB1;n;1989;A;16. Jul;22. Jul;197;203;122,5;750;6,506266;51,397132;2;200
751;ORB1;n;1989;A;23. Jul;29. Jul;204;210;73,5;751;6,506266;51,397132;2;207
752;ORB1;n;1989;A;30. Jul;05. Aug;211;217;61,2;752;6,506266;51,397132;2;214
753;ORB1;n;1989;A;06. Aug;12. Aug;218;224;63,4;753;6,506266;51,397132;2;221
754;ORB1;n;1989;A;13. Aug;19. Aug;225;231;77,4;754;6,506266;51,397132;2;228
755;ORB1;n;1989;A;20. Aug;26. Aug;232;238;39,9;755;6,506266;51,397132;2;235
756;ORB1;n;1989;A;27. Aug;02. Sep;239;245;31,3;756;6,506266;51,397132;2;242
757;ORB1;n;1989;A;03. Sep;09. Sep;246;252;NA;757;6,506266;51,397132;2;249
758;ORB1;n;1989;A;10. Sep;16. Sep;253;259;11,2;758;6,506266;51,397132;2;256
759;ORB1;n;1989;A;17. Sep;23. Sep;260;266;9,9;759;6,506266;51,397132;2;263
760;ORB1;n;1989;A;24. Sep;30. Sep;267;273;16,5;760;6,506266;51,397132;2;270
761;ORB1;n;1989;A;01. Okt;07. Okt;274;280;12,1;761;6,506266;51,397132;2;277
762;ORB1;n;1989;A;08. Okt;14. Okt;281;287;8,6;762;6,506266;51,397132;2;284
763;ORB2;n;1989;A;01. Mai;07. Mai;121;127;26,5;763;6,504397;51,398707;2;124
764;ORB2;n;1989;A;08. Mai;13. Mai;128;133;36,2;764;6,504397;51,398707;2;130,5
765;ORB2;n;1989;A;14. Mai;20. Mai;134;140;101,4;765;6,504397;51,398707;2;137
766;ORB2;n;1989;A;21. Mai;27. Mai;141;147;98,3;766;6,504397;51,398707;2;144
767;ORB2;n;1989;A;28. Mai;03. Jun;148;154;60,1;767;6,504397;51,398707;2;151
768;ORB2;n;1989;A;04. Jun;10. Jun;155;161;68,3;768;6,504397;51,398707;2;158
769;ORB2;n;1989;A;11. Jun;17. Jun;162;168;79,5;769;6,504397;51,398707;2;165
770;ORB2;n;1989;A;18. Jun;24. Jun;169;175;129,8;770;6,504397;51,398707;2;172
771;ORB2;n;1989;A;25. Jun;01. Jul;176;182;91,4;771;6,504397;51,398707;2;179
772;ORB2;n;1989;A;02. Jul;08. Jul;183;189;137,5;772;6,504397;51,398707;2;186
773;ORB2;n;1989;A;09. Jul;15. Jul;190;196;94,6;773;6,504397;51,398707;2;193
774;ORB2;n;1989;A;16. Jul;22. Jul;197;203;145,4;774;6,504397;51,398707;2;200
775;ORB2;n;1989;A;23. Jul;29. Jul;204;210;83,3;775;6,504397;51,398707;2;207
776;ORB2;n;1989;A;30. Jul;05. Aug;211;217;49,1;776;6,504397;51,398707;2;214
777;ORB2;n;1989;A;06. Aug;12. Aug;218;224;40,3;777;6,504397;51,398707;2;221
778;ORB2;n;1989;A;13. Aug;19. Aug;225;231;63,7;778;6,504397;51,398707;2;228
779;ORB2;n;1989;A;20. Aug;26. Aug;232;238;34,5;779;6,504397;51,398707;2;235
780;ORB2;n;1989;A;27. Aug;02. Sep;239;245;26,6;780;6,504397;51,398707;2;242
781;ORB2;n;1989;A;03. Sep;09. Sep;246;252;15,3;781;6,504397;51,398707;2;249
782;ORB2;n;1989;A;10. Sep;16. Sep;253;259;11,9;782;6,504397;51,398707;2;256
783;ORB2;n;1989;A;17. Sep;23. Sep;260;266;8,8;783;6,504397;51,398707;2;263
784;ORB2;n;1989;A;24. Sep;30. Sep;267;273;6,7;784;6,504397;51,398707;2;270
785;ORB2;n;1989;A;01. Okt;07. Okt;274;280;10,5;785;6,504397;51,398707;2;277
786;ORB2;n;1989;A;08. Okt;14. Okt;281;287;5,9;786;6,504397;51,398707;2;284
989;WAH1;n;1989;A;23. Mai;28. Mai;143;148;59,8;989;7,317404;50,845846;2;145,5
