Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Endosymbiont of Euscepes postfasciatus DNA, complete genome, isolate: NAREPO1",endosymbiont of Euscepes postfasciatus,560,560,10%,2e-153,77.00,219841,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP018159.1?report=genbank&log$=nucltop&blast_rank=1&RID=UKWF56GV016"",""AP018159.1"")"
"Candidatus Vidania fulgoroideorum isolate PYRVIR chromosome, complete genome",Candidatus Vidania fulgoroideorum,645,645,12%,5e-179,76.34,125452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP094968.1?report=genbank&log$=nucltop&blast_rank=2&RID=UKWF56GV016"",""CP094968.1"")"
"Candidatus Carsonella ruddii strain CS-GDJY chromosome, complete genome",Candidatus Carsonella ruddii,512,512,10%,5e-139,76.06,172068,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP197252.1?report=genbank&log$=nucltop&blast_rank=3&RID=UKWF56GV016"",""CP197252.1"")"
"MAG: Candidatus Carsonella ruddii isolate CRpru chromosome, complete genome",Candidatus Carsonella ruddii,507,507,10%,2e-137,76.06,169055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP181096.1?report=genbank&log$=nucltop&blast_rank=4&RID=UKWF56GV016"",""CP181096.1"")"
"Candidatus Carsonella ruddii strain BO-GDGZ chromosome, complete genome",Candidatus Carsonella ruddii,488,488,10%,9e-132,75.82,166875,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP197254.1?report=genbank&log$=nucltop&blast_rank=5&RID=UKWF56GV016"",""CP197254.1"")"
"Candidatus Carsonella ruddii isolate Cmel21 chromosome, complete genome",Candidatus Carsonella ruddii,551,551,11%,1e-150,75.70,169056,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP092146.1?report=genbank&log$=nucltop&blast_rank=6&RID=UKWF56GV016"",""CP092146.1"")"
"Candidatus Carsonella ruddii isolate ET-AT1-13 chromosome, complete genome",Candidatus Carsonella ruddii,551,551,11%,1e-150,75.70,169051,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP092145.1?report=genbank&log$=nucltop&blast_rank=7&RID=UKWF56GV016"",""CP092145.1"")"
"Candidatus Carsonella ruddii isolate Cmel4 chromosome, complete genome",Candidatus Carsonella ruddii,551,551,11%,1e-150,75.70,169046,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP092148.1?report=genbank&log$=nucltop&blast_rank=8&RID=UKWF56GV016"",""CP092148.1"")"
"Candidatus Carsonella ruddii isolate Cmel17 chromosome, complete genome",Candidatus Carsonella ruddii,551,551,11%,1e-150,75.70,169064,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP092147.1?report=genbank&log$=nucltop&blast_rank=9&RID=UKWF56GV016"",""CP092147.1"")"
"MAG: Candidatus Carsonella ruddii isolate CRmelAO3-2 chromosome, complete genome",Candidatus Carsonella ruddii,551,551,11%,1e-150,75.70,169081,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP102595.1?report=genbank&log$=nucltop&blast_rank=10&RID=UKWF56GV016"",""CP102595.1"")"
"MAG: Candidatus Carsonella ruddii isolate CRmelAO3-1 chromosome, complete genome",Candidatus Carsonella ruddii,551,551,11%,1e-150,75.70,169079,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP102596.1?report=genbank&log$=nucltop&blast_rank=11&RID=UKWF56GV016"",""CP102596.1"")"
"MAG: Candidatus Carsonella ruddii isolate CRmelAO1 chromosome, complete genome",Candidatus Carsonella ruddii,551,551,11%,1e-150,75.70,169165,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP102597.1?report=genbank&log$=nucltop&blast_rank=12&RID=UKWF56GV016"",""CP102597.1"")"
"Buchnera aphidicola (Periphyllus koelreuteriae) strain Perko21 chromosome, complete genome",Buchnera aphidicola (Periphyllus koelreuteriae),475,475,9%,7e-128,75.69,452078,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP134980.1?report=genbank&log$=nucltop&blast_rank=13&RID=UKWF56GV016"",""CP134980.1"")"
"MAG: Candidatus Carsonella ruddii isolate CRmali chromosome, complete genome",Candidatus Carsonella ruddii,484,773,14%,1e-130,75.67,167918,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP181166.1?report=genbank&log$=nucltop&blast_rank=14&RID=UKWF56GV016"",""CP181166.1"")"
"MAG: Candidatus Carsonella ruddii isolate CRmelAO2 chromosome, complete genome",Candidatus Carsonella ruddii,545,545,11%,5e-149,75.62,169273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP102601.1?report=genbank&log$=nucltop&blast_rank=15&RID=UKWF56GV016"",""CP102601.1"")"
"Candidatus Carsonella ruddii (Anomoneura mori) AM DNA, complete genome",Candidatus Carsonella ruddii (Anomoneura mori),545,639,12%,5e-149,75.53,169120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP031380.1?report=genbank&log$=nucltop&blast_rank=16&RID=UKWF56GV016"",""AP031380.1"")"
MAG: Candidatus Zinderia insecticola isolate Lepcoel-Z chromosome,Candidatus Zinderia insecticola,494,494,10%,2e-133,75.48,217161,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP199868.1?report=genbank&log$=nucltop&blast_rank=17&RID=UKWF56GV016"",""CP199868.1"")"
MAG: Candidatus Stammera capleta isolate JBPPEFJP chromosome,Candidatus Stammera capleta,477,477,10%,2e-128,75.48,291640,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP144790.1?report=genbank&log$=nucltop&blast_rank=18&RID=UKWF56GV016"",""CP144790.1"")"
Buchnera aphidicola (Periphyllus koelreuteriae) strain Perko22 chromosome,Buchnera aphidicola (Periphyllus koelreuteriae),453,453,9%,3e-121,75.27,451592,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP134981.1?report=genbank&log$=nucltop&blast_rank=19&RID=UKWF56GV016"",""CP134981.1"")"
"MAG: Candidatus Carsonella ruddii isolate TA-H40-1 chromosome, complete genome",Candidatus Carsonella ruddii,457,543,10%,2e-122,75.19,166761,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP059138.1?report=genbank&log$=nucltop&blast_rank=20&RID=UKWF56GV016"",""CP059138.1"")"
